"Date","Hour","Active followers"
"2022-08-10","1","392"
"2022-08-10","2","239"
"2022-08-10","3","158"
"2022-08-10","4","138"
"2022-08-10","5","164"
"2022-08-10","6","387"
"2022-08-10","7","831"
"2022-08-10","8","953"
"2022-08-10","9","835"
"2022-08-10","10","804"
"2022-08-10","11","805"
"2022-08-10","12","885"
"2022-08-10","13","1007"
"2022-08-10","14","822"
"2022-08-10","15","821"
"2022-08-10","16","916"
"2022-08-10","17","1180"
"2022-08-10","18","1289"
"2022-08-10","19","1343"
"2022-08-10","20","1475"
"2022-08-10","21","1548"
"2022-08-10","22","1433"
"2022-08-10","23","1058"
"2022-08-10","24","666"
"2022-08-11","1","407"
"2022-08-11","2","248"
"2022-08-11","3","181"
"2022-08-11","4","148"
"2022-08-11","5","170"
"2022-08-11","6","389"
"2022-08-11","7","840"
"2022-08-11","8","930"
"2022-08-11","9","784"
"2022-08-11","10","820"
"2022-08-11","11","885"
"2022-08-11","12","941"
"2022-08-11","13","1018"
"2022-08-11","14","945"
"2022-08-11","15","917"
"2022-08-11","16","1000"
"2022-08-11","17","1178"
"2022-08-11","18","1264"
"2022-08-11","19","1362"
"2022-08-11","20","1450"
"2022-08-11","21","1575"
"2022-08-11","22","1427"
"2022-08-11","23","1148"
"2022-08-11","24","712"
"2022-08-12","1","430"
"2022-08-12","2","312"
"2022-08-12","3","184"
"2022-08-12","4","156"
"2022-08-12","5","186"
"2022-08-12","6","320"
"2022-08-12","7","721"
"2022-08-12","8","987"
"2022-08-12","9","1217"
"2022-08-12","10","1247"
"2022-08-12","11","1306"
"2022-08-12","12","1293"
"2022-08-12","13","1374"
"2022-08-12","14","1246"
"2022-08-12","15","1248"
"2022-08-12","16","1265"
"2022-08-12","17","1227"
"2022-08-12","18","1163"
"2022-08-12","19","1315"
"2022-08-12","20","1425"
"2022-08-12","21","1500"
"2022-08-12","22","1415"
"2022-08-12","23","1113"
"2022-08-12","24","766"
"2022-08-13","1","482"
"2022-08-13","2","303"
"2022-08-13","3","185"
"2022-08-13","4","138"
"2022-08-13","5","150"
"2022-08-13","6","293"
"2022-08-13","7","648"
"2022-08-13","8","942"
"2022-08-13","9","1080"
"2022-08-13","10","1177"
"2022-08-13","11","1233"
"2022-08-13","12","1281"
"2022-08-13","13","1380"
"2022-08-13","14","1224"
"2022-08-13","15","1201"
"2022-08-13","16","1230"
"2022-08-13","17","1267"
"2022-08-13","18","1298"
"2022-08-13","19","1275"
"2022-08-13","20","1410"
"2022-08-13","21","1478"
"2022-08-13","22","1413"
"2022-08-13","23","1158"
"2022-08-13","24","791"
"2022-08-14","1","508"
"2022-08-14","2","322"
"2022-08-14","3","229"
"2022-08-14","4","181"
"2022-08-14","5","167"
"2022-08-14","6","263"
"2022-08-14","7","589"
"2022-08-14","8","918"
"2022-08-14","9","1089"
"2022-08-14","10","1194"
"2022-08-14","11","1228"
"2022-08-14","12","1286"
"2022-08-14","13","1315"
"2022-08-14","14","1260"
"2022-08-14","15","1253"
"2022-08-14","16","1241"
"2022-08-14","17","1199"
"2022-08-14","18","1198"
"2022-08-14","19","1280"
"2022-08-14","20","1445"
"2022-08-14","21","1477"
"2022-08-14","22","1370"
"2022-08-14","23","1053"
"2022-08-14","24","661"
"2022-08-15","1","391"
"2022-08-15","2","245"
"2022-08-15","3","158"
"2022-08-15","4","127"
"2022-08-15","5","162"
"2022-08-15","6","353"
"2022-08-15","7","787"
"2022-08-15","8","898"
"2022-08-15","9","754"
"2022-08-15","10","807"
"2022-08-15","11","852"
"2022-08-15","12","850"
"2022-08-15","13","983"
"2022-08-15","14","870"
"2022-08-15","15","831"
"2022-08-15","16","917"
"2022-08-15","17","1179"
"2022-08-15","18","1309"
"2022-08-15","19","1405"
"2022-08-15","20","1498"
"2022-08-15","21","1522"
"2022-08-15","22","1362"
"2022-08-15","23","998"
"2022-08-15","24","601"
"2022-08-16","1","409"
"2022-08-16","2","247"
"2022-08-16","3","161"
"2022-08-16","4","130"
"2022-08-16","5","170"
"2022-08-16","6","353"
"2022-08-16","7","838"
"2022-08-16","8","927"
"2022-08-16","9","811"
"2022-08-16","10","785"
"2022-08-16","11","852"
"2022-08-16","12","885"
"2022-08-16","13","1061"
"2022-08-16","14","888"
"2022-08-16","15","857"
"2022-08-16","16","939"
"2022-08-16","17","1208"
"2022-08-16","18","1279"
"2022-08-16","19","1309"
"2022-08-16","20","1430"
"2022-08-16","21","1571"
"2022-08-16","22","1370"
"2022-08-16","23","1008"
"2022-08-16","24","624"
"2022-08-17","1","366"
"2022-08-17","2","247"
"2022-08-17","3","163"
"2022-08-17","4","142"
"2022-08-17","5","176"
"2022-08-17","6","358"
"2022-08-17","7","841"
"2022-08-17","8","931"
"2022-08-17","9","764"
"2022-08-17","10","744"
"2022-08-17","11","773"
"2022-08-17","12","889"
"2022-08-17","13","1002"
"2022-08-17","14","842"
"2022-08-17","15","812"
"2022-08-17","16","907"
"2022-08-17","17","1161"
"2022-08-17","18","1245"
"2022-08-17","19","1345"
"2022-08-17","20","1437"
"2022-08-17","21","1498"
"2022-08-17","22","1349"
"2022-08-17","23","1022"
"2022-08-17","24","637"
