Date,Video views,Profile views,Likes,Comments,Shares
20/6/2022,180,3,44,0,1
21/6/2022,318,15,11,3,0
22/6/2022,390,6,20,0,0
23/6/2022,77,0,2,0,0
24/6/2022,83,3,3,0,2
25/6/2022,468,20,17,4,0
26/6/2022,315,2,10,2,1
27/6/2022,290,11,24,7,0
28/6/2022,219,1,11,2,0
29/6/2022,328,13,23,13,0
30/6/2022,358,5,14,0,0
1/7/2022,263,2,3,1,0
2/7/2022,524,2,18,1,0
3/7/2022,316,8,9,4,1
4/7/2022,82,6,7,1,0
5/7/2022,237,5,9,2,0
6/7/2022,279,7,12,0,0
7/7/2022,590,9,23,5,0
8/7/2022,1203,9,50,4,2
9/7/2022,786,13,51,3,1
10/7/2022,578,17,63,4,0
11/7/2022,636,12,24,8,1
12/7/2022,589,6,30,8,2
13/7/2022,705,10,46,10,2
14/7/2022,714,22,44,13,0
15/7/2022,743,14,25,8,1
16/7/2022,2251,47,87,12,3
17/7/2022,633,7,28,4,1
18/7/2022,40185,263,1837,11,4
19/7/2022,2189,26,96,2,1
20/7/2022,396,17,28,9,0
21/7/2022,509,14,24,2,0
22/7/2022,703,10,18,7,0
23/7/2022,1541,26,59,11,5
24/7/2022,1197,25,120,62,0
25/7/2022,563,4,19,4,0
26/7/2022,375,5,16,0,0
27/7/2022,553,3,54,7,0
28/7/2022,313,3,10,0,0
29/7/2022,260,3,12,0,0
30/7/2022,197,6,18,1,1
31/7/2022,543,2,22,6,0
1/8/2022,633,7,26,3,0
2/8/2022,238,2,4,0,0
3/8/2022,199,3,6,1,1
4/8/2022,250,6,11,1,0
5/8/2022,448,7,25,3,0
6/8/2022,92,0,4,0,0
7/8/2022,354,3,30,3,0
8/8/2022,232,4,15,1,1
9/8/2022,49,2,5,0,0
10/8/2022,70,1,3,0,0
11/8/2022,80,2,3,0,0
12/8/2022,266,7,18,3,0
13/8/2022,130,7,6,11,0
14/8/2022,75,2,3,0,0
15/8/2022,68,3,5,2,0
16/8/2022,54,0,1,0,0
17/8/2022,38,0,1,0,0
