Date,Followers,Difference in followers from previous day
20/6/2022,9790,1
21/6/2022,9791,1
22/6/2022,9791,0
23/6/2022,9790,-1
24/6/2022,9792,2
25/6/2022,9808,16
26/6/2022,9808,0
27/6/2022,9817,9
28/6/2022,9817,0
29/6/2022,9797,-20
30/6/2022,9797,0
1/7/2022,9799,2
2/7/2022,9830,31
3/7/2022,9855,25
4/7/2022,9855,0
5/7/2022,9855,0
6/7/2022,9858,3
7/7/2022,9853,-5
8/7/2022,9848,-5
9/7/2022,9846,-2
10/7/2022,9853,7
11/7/2022,9857,4
12/7/2022,9857,0
13/7/2022,9857,0
14/7/2022,9800,-57
15/7/2022,9802,2
16/7/2022,9814,12
17/7/2022,9815,1
18/7/2022,9841,26
19/7/2022,9845,4
20/7/2022,9839,-6
21/7/2022,9839,0
22/7/2022,9843,4
23/7/2022,9852,9
24/7/2022,9866,14
25/7/2022,9868,2
26/7/2022,9866,-2
27/7/2022,9864,-2
28/7/2022,9864,0
29/7/2022,9863,-1
30/7/2022,9865,2
31/7/2022,9864,-1
1/8/2022,9866,2
2/8/2022,9865,-1
3/8/2022,9863,-2
4/8/2022,9865,2
5/8/2022,9864,-1
6/8/2022,9864,0
7/8/2022,9865,1
8/8/2022,9864,-1
9/8/2022,9864,0
10/8/2022,9865,1
11/8/2022,9865,0
12/8/2022,9865,0
13/8/2022,9864,-1
14/8/2022,9863,-1
15/8/2022,9862,-1
16/8/2022,9862,0
17/8/2022,9861,-1
